Title,Provider,Description,Deadline,Local_ScholarshipType,Overseas_ScholarshipType,Singaporean_Nationality,PR_Nationality,Foreigner_Nationality,Olvl_EducationLevel,JC_EducationLevel,Poly_EducationLevel,Uni_EducationLevel,Masters_EducationLevel,ITE_EducationLevel
SAF Merit Scholarship,MINDEF Scholarship Centre (MSC),The SAF Merit Scholarship equips you with a world-class education and exposes you to training that will develop your operational know-how and expertise relevant to the organisation. You will be trained to meet the challenges of the new security environment and to lead your people to fulfil the missi...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
Healthcare Merit Award (Degree Conversion),MOH Holdings Pte Ltd (MOHH),ABOUT HEALTHCARE MERIT AWARD (DEGREE CONVERSION) This scholarship is offered to outstanding third-year diploma holders or recent diploma graduates in the relevant healthcare disciplines who are keen to pursue a degree conversion course at Singapore Institute of Technology (SIT) or MOHH-approved over...,Deadline: Closed for this cycle.,T,T,T,T,F,F,F,T,T,F,F
SAF Engineering Scholarship,MINDEF Scholarship Centre (MSC),The SAF Engineering Scholarship is for military engineers-to-be; who are ready to serve the nation and be groomed as leaders with specific deep specialisation in engineering. The scholarship equips you with a world-class education and training to spearhead in-depth engineering studies; as well as de...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
Healthcare Administration Scholarship (HAS),MOH Holdings Pte Ltd (MOHH),ABOUT THE HEALTHCARE ADMINISTRATION SCHOLARSHIP (HAS) Singaporeï¿½s healthcare industry is constantly evolving to meet the challenges of a changing landscape that includes a fast growing and ageing population. To meet the demand in these areas; we seek to grow a strong core of Healthcare Adminis...,Deadline: Closed for this cycle.,T,T,T,F,F,F,T,T,T,F,F
Healthcare Merit Award (Mid-Term),MOH Holdings Pte Ltd (MOHH),ABOUT THE HEALTHCARE MERIT AWARD (MID-TERM) This scholarship is offered to outstanding students currently pursuing a diploma in relevant health science disciplines at a local polytechnic; or pursuing a relevant health science degree at local universities; or MOHH-approved overseas universities. WHO ...,Deadline: Closed for this cycle.,T,T,T,T,F,T,T,T,T,T,F
Healthcare Graduate Studies Award (HGSA),MOH Holdings Pte Ltd (MOHH),ABOUT THE HEALTHCARE GRADUATE STUDIES AWARD (HGSA) The Healthcare Graduate Studies Award (HGSA) is offered by the Ministry of Health to final year undergraduates or recent university graduates who are keen to pursue a Masterï¿½s degree in selected health science disciplines. Apply for the HGSA n...,Deadline: Closed for this cycle.,T,T,T,T,F,F,F,T,T,T,F
Changi Airport Group Undergraduate Scholarship,Changi Airport Group (CAG),Scholarship Bond Period Overseas undergraduate scholarship: 5 years Local undergraduate scholarship: 3 years Tenure of Award The awards are tenable at top overseas and local universities Field of Study All disciplines of study (excluding medicine and dentistry) Scholarship Benefits Overseas All tui...,Deadline: Closed for this cycle.,T,T,T,T,T,F,T,T,T,F,F
CAAS Undergraduate Scholarship,Civil Aviation Authority of Singapore (CAAS),The CAAS Scholarship is an unrivalled opportunity for you to gain a higher education; the first step in your journey to build and shape the future of civil aviation and to make CAAS a leading force in international aviation. We are looking for exceptional individuals who can rise to the challenge. H...,Deadline: Closed for this cycle.,T,T,T,T,T,F,T,T,T,F,F
Defence Merit Scholarship,MINDEF Scholarship Centre (MSC),The Defence Merit Scholarship is a prestigious scholarship offered by MINDEF for civilian appointments in the organisation. Awarded to a select few each year; the DMS paves the way to a first-class education at some of the world's most eminent universities. Upon graduation; DMS Scholars enjoy a ...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
MND Statutory Board Scholarships,Ministry of National Development (MND),We are looking for passionate individuals who will contribute to Singaporeï¿½s future development; transforming it into a sustainable place for all. Requirements: Singapore citizens or permanent residents;intending to take up Singapore citizenship GCE A Levels; polytechnic diploma (with Merit) o...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
PSC Scholarship (Medicine / Dentistry),MOH Holdings Pte Ltd (MOHH),ABOUT PSC SCHOLARSHIP (MEDICINE / DENTISTRY) The PSC (Medicine) and PSC (Dentistry) Scholarships are offered to existing local medicine and dentistry undergraduates and to those currently pursuing their Doctor of Medicine (MD) studies at Duke-NUS Medical School; to nurture and develop the next gener...,Deadline: Closed for this cycle.,T,F,T,T,F,F,F,T,T,F,F
Healthcare Graduate Studies Award (Nursing),MOH Holdings Pte Ltd (MOHH),ABOUT HEALTHCARE GRADUATE STUDIES AWARD (NURSING) This postgraduate scholarship is offered by MOH to final-year undergraduates; recent university graduates or mid-careerists with no prior nursing training and who are keen to pursue an overseas Masterï¿½s degree in nursing. It is awarded to dynam...,Deadline: Closed for this cycle.,T,T,T,T,F,F,F,T,T,T,F
Integrated Nursing Scholarship (INS),MOH Holdings Pte Ltd (MOHH),ABOUT INS The Integrated Nursing Scholarship (INS) is a new premier public healthcare scholarship scheme that aims to nurture the next generation of nurse leaders. It is offered to outstanding ï¿½Oï¿½ level graduates who demonstrate leadership potential and wish to pursue a career in nursing...,Deadline: Closed for this cycle.,T,F,T,T,F,T,F,T,T,F,F
Healthcare Training Grant,MOH Holdings Pte Ltd (MOHH),The Healthcare Training Grant (HTG) is a financial grant provided by MOH Holdings to attract Singaporean students studying Health Science undergraduate degree courses in selected overseas universities to return to Singapore and contribute to our public healthcare sector. The HTG is awarded to passio...,Deadline: Closed for this cycle.,T,T,T,T,F,T,T,T,T,T,F
Community Nursing Scholarship (CNS),MOH Holdings Pte Ltd (MOHH),ABOUT THE COMMUNITY NURSING SCHOLARSHIP (CNS) The Community Nursing Scholarship (CNS) is a scholarship that aims to nurture the next generation of community nursing leaders. It is offered by MOH in partnership with the Regional Health Systems (RHSes) and community care providers; and aims to develop...,Deadline: Closed for this cycle.,T,T,T,T,F,T,T,T,T,F,F
National Environment & Water (NEW) Scholarship,National Environment Agency (NEA) and  PUB; Singapore's National Water Agency,REQUIREMENTS ELIGIBILITY VALUE OF SCHOLARSHIP BOND DURATION WHERE TO PURSUE CHOICE OF COURSES Undergraduate Scholarship The NEW Scholarship is open to Singapore Citizens or Permanent Residents with outstanding academic results and a noteworthy CCA record. Note: For Permanent Residents; confirmation...,Deadline: All Year Round,T,T,T,T,F,F,T,T,T,T,F
National Environment & Water (NEW) Internship,National Environment Agency (NEA) and  PUB; Singapore's National Water Agency,Whatï¿½s NEW Internship? The NEW Internship is one of the selection processes for the NEW Scholarship. It is offered by the National Environment Agency (NEA) and PUB; the national water agency. The objective of the NEW Internship is to identify talented young people with an interest in environme...,Deadline: All Year Round,T,F,T,T,F,F,T,T,T,F,F
ST Engineering Local Scholarship,Singapore Technologies Engineering Ltd (ST Engineering),Eligibility Singapore Citizens or Singapore PR Excellent GCE ï¿½Aï¿½ level; International Baccalaureate; NUS High School; Polytechnic results or equivalent Outstanding CCA record with achievements demonstrating strong leadership qualities Passion for Technology and Engineering Value of Award...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
ST Engineering Overseas Scholarship,Singapore Technologies Engineering Ltd (ST Engineering),Eligibility Singapore Citizens or Singapore PR Excellent GCE ï¿½Aï¿½ level; International Baccalaureate; NUS High School; Polytechnic results or equivalent Outstanding CCA record with achievements demonstrating strong leadership qualities Passion for Technology and Engineering Value of Award...,Deadline: Closed for this cycle.,F,T,T,T,F,F,T,T,T,F,F
ST Engineering Overseas (China) Scholarship,Singapore Technologies Engineering Ltd (ST Engineering),Eligibility Singapore Citizens or Singapore PR Excellent GCE ï¿½Aï¿½ level; International Baccalaureate; NUS High School; Polytechnic results or equivalent Outstanding CCA record with achievements demonstrating strong leadership qualities Strong proficiency in Chinese language Passion for Te...,Deadline: Closed for this cycle.,F,T,T,T,F,F,T,T,T,F,F
Enterprise Singapore Global Executive Scholarship: Mid-Term,Enterprise Singapore (ESG),Enterprise Singaporeï¿½s Global Executive Scholarship: Mid-term is available for studies at: NUS NTU SMU SUTD SIT Fields of Study All undergraduate courses except Medicine; Pharmacy; Dentistry; Law; Architecture; Music and Nursing Conditions of Scholarship Bond period: one year for each year of ...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Enterprise Singapore Global Executive Scholarship: Overseas,Enterprise Singapore (ESG),Enterprise Singaporeï¿½s Global Executive Scholarship: Overseas is available for studies at top universities in China; France; Germany; Japan; Korea; the United States and the United Kingdom. Fields of Study All undergraduate courses except Medicine; Pharmacy; Dentistry; Law; Architecture; Music...,Deadline: Closed for this cycle.,F,T,T,T,F,F,T,T,T,F,F
Enterprise Singapore Global Executive Scholarship: Local,Enterprise Singapore (ESG),Enterprise Singaporeï¿½s Global Executive Scholarship: Local is available for studies at: NUS NTU SMU SUTD SIT Fields of Study All undergraduate courses except Medicine; Pharmacy; Dentistry; Law; Architecture; Music and Nursing Conditions of Scholarship Two-year bond upon completion of studies E...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
SG:D Scholarship ï¿½ Undergraduate,Infocomm Media Development Authority of Singapore (IMDA),The Singapore Digital (SG:D) Scholarship (Undergraduate) (formerly known as the Media Education Scholarship (MES); MES (Film) and the National Infocomm Scholarship (NIS)) is an industry scholarship that empowers students pursuing Infocomm Media (ICM) related studies at the undergraduate level with a...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,T,F
SG:D Scholarship ï¿½ Polytechnic,Infocomm Media Development Authority of Singapore (IMDA),The Singapore Digital (SG:D) Scholarship (Polytechnic) (formerly known as Infocomm Polytechnic Scholarship (iPoly)) has enhanced terms and conditions to groom aspiring Infocomm Media (ICM) talent to be industry-ready for an exciting career in a fast-evolving digital economy. The bond-free scholarshi...,Deadline: Closed for this cycle.,T,F,T,T,F,T,F,T,F,F,F
SG:D Scholarship ï¿½ Postgraduate,Infocomm Media Development Authority of Singapore (IMDA),The Singapore Digital (SG:D) Scholarship (Postgraduate) is an industry scholarship that empowers students pursuing Infocomm Media (ICM) related studies at the Masters or PhD level. Students pursuing postgraduate studies in specialised ICM areas such as Artificial Intelligence; Cybersecurity; Analyti...,Deadline: Closed for this cycle.,T,T,T,T,F,F,F,F,T,T,F
JTC Mid-Term Scholarship (For undergraduate students),JTC Corporation,Eligibility Excellent undergraduate academic results Good track record in co-curricular activities and strong leadership qualities A passion to contribute to the development of Singaporeï¿½s industrial landscape Singapore Citizen Universities Our Mid-term Scholarships cover single degree program...,Deadline: All Year Round,T,T,T,T,F,F,F,T,T,F,F
JTC Undergraduate Scholarship 2019,JTC Corporation,Eligibility Excellent academic results (ï¿½Aï¿½ Levels; International Baccalaureate (IB); Polytechnic Diploma) Good track record in co-curricular activities and strong leadership qualities A desire and passion to contribute to the development of Singaporeï¿½s industrial landscape Singapo...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
LTA Local/Overseas Undergraduate Scholarship (Full-term & Mid-term),Land Transport Authority (LTA),Connecting People to Places; Enhancing Travel Experience Building the land transport of tomorrow takes more than just steel and concrete. We need people with a genuine passion for land transport who will treasure the opportunity to enhance the travel experience of commuters and road users. In LTA; y...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
LTA Local Study Award (Full-term & Mid-term),Land Transport Authority (LTA),If you have a keen interest in Engineering and a deep passion for land transport; the LTA Local Study Award is for you. Upon graduation; you will join the 5;000 strong LTA family to deliver on exciting large-scale projects such as the Thomson-East Coast Line and Cross Island Line. You will also leve...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Land Transport Masters Scholarship,Land Transport Authority (LTA),Connecting People to Places; Enhancing Travel Experience Building the land transport of tomorrow takes more than just steel and concrete. We need people with a genuine passion for land transport who enjoys the opportunity to enhance the travel experience of commuters and road users. In LTA; you get ...,Deadline: Closed for this cycle.,T,T,T,T,F,F,F,F,T,T,F
MAS Mid-Term Undergraduate Scholarship,Monetary Authority of Singapore (MAS),Shine with one scholarship The MAS Mid-Term Undergraduate Scholarship is a prestigious award that gives the most outstanding individuals the opportunity to pursue their dreams at the world's best universities. And promises them a career dedicated to solving some of Singapore's most challengi...,Deadline: All Year Round,T,T,T,T,T,F,F,T,T,F,F
OCBC Local Undergraduate Scholarship,Oversea-Chinese Banking Corporation Limited (OCBC),Ours is a philosophy that nurtures talented and outstanding individuals by providing them with challenging and rewarding opportunities to help them develop to their full potential. Established in the 1950s; the OCBC Local Undergraduate Scholarship provides financial assistance to students who have g...,Deadline: Closed for this cycle.,T,F,T,T,F,T,T,T,T,F,F
OCBC Regional Undergraduate Scholarship Programme,Oversea-Chinese Banking Corporation Limited (OCBC),Summary The OCBC Regional Undergraduate Scholarship supports the scholarï¿½s overseas undergraduate study outside of his/her country of nationality in Singapore; China or Hong Kong. Upon graduation; the Scholar will be bonded to OCBC for the same amount of period the scholarship is awarded to t...,Deadline: Closed for this cycle.,T,T,F,T,T,F,T,T,T,T,F
SLA Overseas Scholarship (Full Term),Singapore Land Authority (SLA),Eligibility: Singapore Citizen Excellent academic results (A-level; International Baccalaureate) Active participation in Co-Curricular Activities (CCA) with strong leadership qualities Be medically fit University Admission Candidates are required to apply on their for admission to approved overseas ...,Deadline: Closed for this cycle.,F,T,T,F,F,F,T,T,T,F,F
SLA Local Scholarship (Full-Term / Mid-Term),Singapore Land Authority (SLA),Eligibility: Singapore Citizen Excellent academic results (A-level; International Baccalaureate) Outstanding university results (for current undergraduates) Active participation in Co-Curricular Activities (CCA) with strong leadership qualities Be medically fit Course of Study The scholarship is ten...,Deadline: Closed for this cycle.,T,F,T,F,F,F,T,T,T,F,F
Singapore Geospatial Scholarship : Overseas / Local (Full & Mid Term),Singapore Land Authority (SLA),Eligibility Singapore Citizen For Full Term Scholarship: ï¿½A' level; International Baccalaureate and Polytechnic For Mid-Term Scholarship: Undergraduate in NUS Bachelor of Arts with a major in Geography and a minor in Geographic Information System (GIS) Other courses of study in the local a...,Deadline: Closed for this cycle.,T,T,T,F,F,F,T,T,T,F,F
SSG-WSG Joint Undergraduate Scholarship (Mid-Term),SkillsFuture Singapore and Workforce Singapore,SSG and WSG have come together to jointly offer the following Mid-term Undergraduate Scholarships: Local Mid-Term Scholarship Current undergraduates from local universities with good results Students from all disciplines (excluding Medicine and Dentistry) are welcome to apply Eligibility Singapore C...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
SSG-WSG Joint Undergraduate Scholarship (Full-Term),SkillsFuture Singapore and Workforce Singapore,SSG and WSG have come together to jointly offer the following Full-term Undergraduate Scholarships: Local Full-Term Scholarship Good GCE 'A' Level or Polytechnic results or equivalent (including International Baccalaureate and NUS High School Diploma) Eligibility ï¿½ Singapore Citizen or ...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,T,F
Smart Nation Scholarship,Smart Nation (CSA/GovTech/IMDA),The Smart Nation Scholarship develops and nurtures technology talents and leaders with public service. Offered by the Cyber Security Agency of Singapore (CSA); Government Technology Agency (GovTech); and Infocomm Media Development Authority (IMDA); the scholarship gives recipients the opportunity to...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
Social Service Award (Degree & Postgrad),National Council of Social Service (NCSS),The Social Service Award is offered to promising individuals who are passionate to serve as social service professionals and committed to work with people in the community. Supported Fields of Study & Award Coverage Diploma Courses Degree Courses Post-graduate Courses Social Work x ? ? Occup...,Deadline: Closed for this cycle.,T,T,T,T,F,F,F,F,T,T,F
Public Service Commission Scholarship (Teaching Service),Ministry of Education (MOE),The Public Service Commission Scholarship (Teaching Service) ï¿½ PSC(T) is awarded to outstanding students who demonstrate strong leadership abilities. The scholarship is tenable for undergraduate studies at both overseas and local universities. PSC(T) scholars will be placed on the Public Servi...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,T,F
Social Service Scholarship (Full-Term),National Council of Social Service (NCSS),The Social Service Scholarship is offered to outstanding individuals who are passionate to work with people and has the leadership qualities to drive social change. As a Social Service Scholar; youï¿½ll be given opportunities to participate in training and developmental programmes and engage reg...,Deadline: Closed for this cycle.,T,T,T,T,F,T,T,T,T,T,F
NUS Global Merit Scholarship,National University of Singapore,Courses/Discipline? Any full-time undergraduate course leading to a first degree; except Dentistry; Medicine; Music and Yale-NUS College Value & Benefits? ï¿½ Full subsidy for tuition fees (after MOE Tuition Grant subsidy) ï¿½ Annual living allowance of S$6;000 ï¿½ S$2;800 annual ac...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Social Service Scholarship (Mid-Term),National Council of Social Service (NCSS),The Social Service Scholarship is offered to outstanding individuals who are passionate to work with people and has the leadership qualities to drive social change. As a Social Service Scholar; youï¿½ll be given opportunities to participate in training and developmental programmes and engage reg...,Deadline: Closed for this cycle.,T,T,T,T,F,F,F,T,T,T,F
Education Merit Scholarship (Teaching),Ministry of Education (MOE),The Education Merit Scholarship (EMS) is offered to outstanding candidates with a strong passion in Education; for studies at the best universities. EMS scholars will be given opportunities to hold top professional positions in the Education Service depending on their performance. Requirements Sing...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
"<a href=""https://www.moe.gov.sg/careers/teach/teaching-scholarships-awards/moe-teaching-scholarship"">NUS Merit Scholarship</a>",National University of Singapore,Courses/Discipline? Any full-time undergraduate course leading to a first degree; except Music and Yale-NUS College Value & Benefits ï¿½ Full subsidy for tuition fees (after MOE Tuition Grant subsidy) ï¿½ Annual living allowance of S$6;000 ï¿½ One-time computer allowance of S$2;000 &...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
MOE Teaching Scholarship,Ministry of Education (MOE),The Ministry of Education Teaching Scholarships (MOE TS) is awarded for undergraduate studies tenable at both overseas and local universities. MOE TS scholars will be given opportunities to hold senior positions in teaching; leadership or senior specialist roles. Requirements Singapore citizens; or...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
Social Service Award (Diploma),National Council of Social Service (NCSS),The Social Service Award is offered to promising individuals who are passionate to serve as social service professionals and committed to work with people in the community. Supported Fields of Study & Award Coverage Diploma Courses Degree Courses Post-graduate Courses Social Work x ? ? Occup...,Deadline: 31 Jul 2019; Wed,T,F,T,T,F,F,T,T,T,F,F
NHG Study Sponsorship Award for NYP AHP Diploma,National Healthcare Group (NHG),Institutions for Study Nanyang Polytechnic Course Disciplines You will graduate with a Diploma in the following disciplines upon completion of your studies Diagnostic Radiography Occupational Therapy Physiotherapy Value of Bursary You will receive: Monthly allowance of $950; Study award of $350/seme...,Deadline: All Year Round,T,F,T,T,F,T,T,T,F,F,F
NHG Study Sponsorship Award for NUS Nursing Degree,National Healthcare Group (NHG),Institutions for Study National University of Singapore Course Disciplines You will graduate with a Degree in the Nursing upon completion of your studies. Value of Bursary You will receive: Monthly allowance of $1;000; Study award of $700/semester for good performers; and Coverage for all necessary ...,Deadline: All Year Round,T,F,T,T,F,F,T,T,T,F,F
NHG Study Sponsorship Award for NP / NYP Nursing Diploma,National Healthcare Group (NHG),Institutions for study Ngee Ann Polytechnic (NP) or Nanyang Polytechnic (NYP) Course/ Disciplines You will graduate with a Diploma in Nursing upon completion of your studies. Value of Award You will receive: Monthly allowance of $900; Study award of $350/semester for good performer; and Coverage for...,Deadline: All Year Round,T,F,T,T,F,T,T,T,T,F,F
NHG Study Sponsorship Award for ITE Nursing Certificate https://corp.nhg.com.sg/Careers/Pages/Scholarships-and-Sponsorships.aspx,National Healthcare Group (NHG),NHG Study Sponsorship Award for ITE Nursing Certificate Institutions for study Institute of Technical Education (ITE) College East Course/Disciplines You will graduate with a NITEC in Nursing upon completion of your studies. Value of Award You will receive: ï¿½ Monthly allowance of $750; ï¿½ ...,Deadline: All Year Round,T,F,T,T,F,T,F,F,F,F,T
A*STAR Graduate Scholarship,Agency for Science; Technology and Research (A*STAR),The AGS (Singapore) funds up to 4 years of PhD studies in NTU; NUS; Duke-NUS; SMU (Information Systems) and SUTD. Students will have the opportunity to undertake research at their chosen A*STAR Research Institute and register candidature at NTU; NUS; Duke-NUS; SMU (Information Systems) or SUTD. AGS ...,Deadline: All Year Round,T,F,T,F,F,F,F,F,T,T,F
National Science Scholarship (PhD),Agency for Science; Technology and Research (A*STAR),The National Science Scholarship (PhD) funds PhD studies at top global universities universities in Biomedical Sciences; Physical Sciences and Engineering disciplines. Requirements Applicants must have outstanding undergraduate results (preferably 1st Class Honours Degree or equivalent) in relevant ...,Deadline: All Year Round,F,T,T,F,F,F,F,F,T,T,F
A*STAR International Fellowship,Agency for Science; Technology and Research (A*STAR),Expand your research experience; deepen your knowledge and form global connections that will advance your scientific career with the A*STAR International Fellowship. This scholarship fully funds your post-doctoral training at leading overseas laboratories. With this international exposure; you can c...,Deadline: All Year Round,F,T,T,F,F,F,F,F,T,T,F
A*STAR Computing and Information Science (ACIS) Scholarship,Agency for Science; Technology and Research (A*STAR),The A*STAR Computing and Information Science (ACIS) Scholarship is newly launched in November 2018 to attract top talents to pursue a PhD in computing and information science (CIS) disciplines. ACIS Scholars will have invaluable opportunities to research on real-world issues across the whole spectru...,Deadline: 31 July; 2019 for Jan 2020 intake,T,F,T,F,F,F,F,F,T,T,F
A*STAR-University Of Warwick (AWP) Engd Partnership,Agency for Science; Technology and Research (A*STAR),A*STAR-UNIVERSITY OF WARWICK (AWP) ENGD PARTNERSHIP The University of Warwick is one of the UK's leading universities; with an acknowledged reputation for excellence in research and teaching; for innovation; and for links with business and industry. In less than fifty years since being founded; ...,Deadline: All Year Round,F,T,T,F,F,F,F,F,T,T,F
iBuildSG Undergraduate Scholarship and Sponsorship,Building and Construction Authority (BCA),The iBuildSG Undergraduate Scholarship and Sponsorship programmes are offered by BCA; in collaboration with industry firms; to students of high calibre pursuing full-time built environment courses at local Universities and the BCA Academy. Through these programmes; graduates will enjoy opportunities...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
iBuildSG Diploma Scholarship and Sponsorship,Building and Construction Authority (BCA),The iBuildSG Diploma Scholarship and Sponsorship programmes are offered by BCA; in collaboration with industry firms; to students of high calibre pursuing full-time Built Environment (BE) courses at local Polytechnics and the BCA Academy. Through these programmes; graduates will enjoy opportunities ...,Deadline: Closed for this cycle.,T,F,T,T,T,T,F,T,F,F,T
Anugerah Belia Cemerlang MENDAKI (Study),Yayasan MENDAKI,Introduction Anugerah Belia Cemerlang (ABC) MENDAKI (Study) aims to inspire the community towards embracing lifelong learning and support them in their quest towards attaining various peaks of excellence. Objectives To provide inspiration to the community by identifying and recognising Muslim youths...,Deadline: Closed for this cycle.,T,F,T,F,F,T,T,T,T,F,T
Anugerah Belia Cemerlang MENDAKI / MENDAKI Youth Promise Award (Overseas and Local),Yayasan MENDAKI,Introduction Anugerah Belia Cemerlang MENDAKI aims to inspire the community towards embracing lifelong learning and support youths in their quest in attaining various peaks of excellence. This award was formerly known as the Goh Chok Tong Youth Promise Award (GCTYPA). Objectives To provide inspirati...,Deadline: Closed for this cycle.,T,T,T,F,F,T,T,T,T,T,T
Special Achievement Award for Excellence (Non-Academic),Yayasan MENDAKI,Introduction The award is to honour students who have done exceptionally well in the non-academic field. Objectives To recognise the students who has attained commendable achievements in the non-academic field. To inspire Malay/Muslim youths to achieve excellence in diversified areas and be role mod...,Deadline: Closed for this cycle.,T,F,T,F,F,T,T,T,T,T,T
National Science Scholarship (BS-PhD),Agency for Science; Technology and Research (A*STAR),The National Science Scholarships (BS-PhD) funds undergraduate studies and PhD training in Biomedical Sciences; Physical Sciences and Engineering at top global universities. Requirements Applicants who have achieved excellent academic standing in the GCE 'A' Levels (preferably with 11 AUs); ...,Deadline: Closed for this cycle.,F,T,T,F,F,F,F,F,T,T,F
